id, name, price, category, description, rating, reviews, marketing, background, img1, img2, img3, name1, name2, name3, color1, color2, color3
12, PRO FILTR SOFT MATTE ESSENTIALS, 50, BLOTTING, INSTANT REFRESH, 3, 28, LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background5.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product8.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color7.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model2.jpg, GINGER BINGE, GLASS SLIPPER, COGNAC, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color15.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color9.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color15.png
13, ESSENTIALS HYDRATING PRO FILTR, 20, BLOTTING, ON-THE-GO FILTER EFFECT, 3, 23, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background5.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product1.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color3.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model8.jpg, HOT CHOCOLIT, MEAN MONEY, PMS, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color12.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color15.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color14.png
14, COMPLEXION LUMINIZER FULL, 60, BLOTTING, ON-THE-GO FILTER EFFECT, 5, 32, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background9.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product8.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color6.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model2.jpg, TROPHY WIFE, MIDNIGHT WASABI, METAL MOON, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color32.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color1.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color9.png
15, BLUSH GLOW HYDRATING, 36, POWDER, INSTANT REFRESH, 3, 20, BEST SELLER, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background5.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product7.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color3.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model3.jpg, THICC, PUMPKIN ROSE, MIDNIGHT WASABI, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color26.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color25.png
16, LUMINIZER FULL COMPLEXION, 48, BRONZER, FOR DEEP TO VERY DEEP SKIN TONES - GREAT FOR BRIGHTENING, 3, 20, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background5.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product11.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color4.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model3.jpg, CANDY VENOM, CANDY VENOM, CHAMPAGNE HEIST, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color27.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color6.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color7.png
17, PRO FILTR GLOW COMPLEXION, 80, CONTOUR, MEDIUM TO FULL COVERAGE FOR ALL SKIN TONES., 4, 36, BEST SELLER, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background12.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product14.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color4.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model2.jpg, CHAMPAGNE HEIST, MOSCOW MULE, FRECKLE FIESTA, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color20.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color28.png
18, LIPSTICK POWDER LIPSTICK, 80, POWDER, FOR TAN TO DEEP SKIN TONES, 1, 87, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background2.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product10.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color1.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model5.jpg, GLASS SLIPPER, WATTABRAT, RIDIIC, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color31.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color31.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color28.png
19, LUMINIZER SOFT MATTE POWDER, 70, POWDER, FOR DEEP TO VERY DEEP SKIN TONES - GREAT FOR BRIGHTENING, 2, 57, NEW + LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background4.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product9.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color9.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model7.jpg, HU$TLA BABY, CONFETTI, YACHT LYFE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color13.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color29.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color12.png
20, POWDER FULL FULL, 40, BODY, FOR DEEP TO VERY DEEP SKIN TONES - GREAT FOR BRIGHTENING, 5, 55, NEW + LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background4.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product12.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model10.jpg, TRIPPIN, FENTY GLOW, RIDIIC, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color5.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color15.png
21, HYDRATING PRO FILTR POWDER, 40, FOUNDATION, INSTANT REFRESH, 4, 90, NEW + LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background10.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product12.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color7.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model3.jpg, SHAWTY, FU$$Y, DRAGON MAMI, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color19.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color27.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color17.png
22, LUMINIZER COMPLEXION LUMINIZER, 32, CONTOUR, FOR DEEP TO VERY DEEP SKIN TONES - GREAT FOR BRIGHTENING, 4, 26, LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background9.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product5.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model7.jpg, BEACH BUM, TEDDY, CHAMPAGNE HEIST, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color12.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color32.png
23, MATTIFYING POWDER LUMINIZER, 120, BROWS, INSTANT REFRESH, 3, 35, BEST SELLER, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background8.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product12.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color1.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model7.jpg, UNICORN, HU$TLA BABY, TEDDY, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color5.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color13.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png
24, INVISIMATTE BLUSH PRO FILTR, 60, LIPSTICK, FOR FAIR TO LIGHT SKIN TONES - GREAT FOR BRIGHTENING, 3, 38, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background11.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product13.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model9.jpg, TRIPPIN, FENTY GLOW, FENTY GLOW, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color30.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color29.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color23.png
25, SOFT MATTE PRO FILTR PRO FILTR, 36, BLOTTING, FOR TAN TO DEEP SKIN TONES, 3, 64, BEST SELLER, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background11.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product1.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color8.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model1.jpg, TOFFEE TEASE, PMS, STARSTRUCK, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color32.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color18.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png
26, COMPLEXION ESSENTIALS FULL, 70, CONTOUR, FOR DEEP TO VERY DEEP SKIN TONES - GREAT FOR BRIGHTENING, 3, 62, RIHANNAS FAVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background9.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product17.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color9.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model5.jpg, CHILLZ, GIRL NEXT DOOR, MO HUNNY, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color17.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color25.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color27.png
27, COMPLEXION POWDER FULL, 60, BRONZER, ON-THE-GO FILTER EFFECT, 2, 98, EXCLUSIVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background13.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product10.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color3.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model2.jpg, BUTTA BISCUIT, FU$$Y, TURKS AND CAICOS, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color21.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color20.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color17.png
28, POWDER HYDRATING ESSENTIALS, 50, LIPSTICK, INSTANT REFRESH, 2, 51, NEW, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background1.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product19.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color5.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model9.jpg, CONFETTI, THICC, COGNAC, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color23.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color29.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png
29, BLUSH POWDER FULL, 20, LIPSTICK, FOR TAN TO DEEP SKIN TONES, 3, 62, LIMITED EDITION, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background1.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product8.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color10.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model6.jpg, MIDNIGHT WASABI, BLONDE, HU$TLA BABY, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color14.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color25.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color6.png
30, PRO FILTR POWDER BLUSH, 52, BODY, INSTANT REFRESH, 3, 6, EXCLUSIVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background1.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product15.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color6.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model2.jpg, METAL MOON, LIGHTNING DUST, YACHT LYFE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color12.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color15.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color30.png
31, INVISIMATTE BLUSH ESSENTIALS, 48, POWDER, MEDIUM TO FULL COVERAGE FOR ALL SKIN TONES., 3, 54, EXCLUSIVE, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Background/background11.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/products/product12.jpg, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color5.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/model/model4.jpg, TURKS AND CAICOS, MACCHIATO, GLASS SLIPPER, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color2.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color16.png, https://fentybeauty.s3-us-west-1.amazonaws.com/Fenty+Photos/Foreground/colors/color7.png
